num_cars_per_1000_persons,num_accidents_per_100000_persons,vodka_per_person,crime_per_person,average_incom_per_person,retail_per_person
273.1,142.2,9.3,1537.0,25928.0,165051.0
284.6,137.8,11.5,1358.0,33467.0,207394.0
288.4,83.9,6.6,968.0,23735.0,144992.0
166.6,119.1,7.8,1527.0,20152.0,138669.0
266.3,211.2,10.9,1315.0,18796.0,116202.0
283.7,164.1,8.0,1306.0,22056.0,158218.0
223.7,185.5,9.3,1387.0,18123.0,121813.0
290.3,231.5,11.7,1565.0,23182.0,144553.0
252.6,122.7,11.5,1164.0,17575.0,104945.0
250.5,182.8,7.6,1180.0,20809.0,130337.0
294.7,183.5,7.1,1143.0,22222.0,151358.0
330.6,131.1,11.5,1511.0,32739.0,191797.0
302.5,177.3,6.7,1580.0,18262.0,116988.0
320.8,217.2,7.5,849.0,19828.0,123656.0
284.0,150.5,11.2,1519.0,19982.0,134889.0
257.7,192.9,6.6,1093.0,19834.0,139912.0
340.5,146.4,12.5,1515.0,19106.0,133177.0
302.3,172.1,7.0,823.0,20903.0,136909.0
223.7,156.2,11.1,1210.0,21127.0,131399.0
276.0,94.0,16.0,1453.0,54869.0,333529.0
302.5,172.1,11.0,1458.0,26167.0,156056.0
330.1,137.8,15.4,1744.0,21494.0,136581.0
268.1,181.9,16.3,2249.0,29335.0,167697.0
249.6,175.3,14.4,1770.0,26262.0,154320.0
242.2,121.2,14.9,1191.0,66276.0,158161.0
249.9,177.4,14.4,1792.0,24775.0,154177.0
290.1,157.6,12.9,2045.0,20513.0,112774.0
330.3,136.4,13.2,1514.0,20642.0,123113.0
283.7,215.9,12.2,1146.0,20161.0,141100.0
307.1,118.9,13.2,1716.0,32912.0,177300.0
275.7,223.7,12.6,1897.0,21392.0,136772.0
345.3,222.9,8.0,1410.0,17804.0,127898.0
318.4,164.2,7.2,1085.0,31407.0,181245.0
274.3,133.8,5.0,1271.0,21842.0,153160.0
267.6,119.0,4.7,888.0,18512.0,151236.0
262.0,238.1,4.3,1220.0,11311.0,56382.0
289.5,130.9,5.0,1195.0,25777.0,170772.0
238.7,177.9,7.3,1704.0,19777.0,147954.0
234.0,111.0,4.7,1417.0,17590.0,117073.0
289.3,135.3,4.6,1219.0,20995.0,160683.0
197.0,75.2,3.2,748.0,18900.0,126431.0
154.3,46.9,4.8,474.0,21717.0,152841.0
130.0,45.8,0.0,391.0,13821.0,36955.0
212.5,93.9,1.6,1009.0,15297.0,104645.0
214.4,124.7,1.2,766.0,14664.0,73742.0
242.5,118.1,2.2,857.0,17788.0,119453.0
127.8,34.8,0.0,272.0,17188.0,77088.0
267.2,104.1,4.5,1212.0,19768.0,153772.0
258.0,148.9,8.8,1403.0,21864.0,147131.0
245.0,122.5,10.8,1288.0,23892.0,177555.0
196.7,168.2,10.6,1196.0,14517.0,92500.0
234.3,123.3,9.6,1031.0,14433.0,77284.0
250.1,141.2,10.7,1202.0,26161.0,186147.0
250.5,100.2,10.9,1779.0,18660.0,116969.0
185.1,164.9,11.3,1140.0,15264.0,96535.0
258.5,198.7,8.7,2150.0,26054.0,172008.0
239.5,153.6,12.9,1656.0,18012.0,113482.0
269.8,186.5,8.5,1435.0,24503.0,164303.0
298.1,135.9,5.7,1348.0,18628.0,119649.0
276.4,178.1,6.0,950.0,17815.0,118598.0
285.0,148.1,6.9,1622.0,26865.0,173881.0
280.3,113.8,5.2,1132.0,16035.0,106880.0
243.9,159.5,7.4,1182.0,18580.0,116681.0
304.1,141.1,9.8,1836.0,28994.0,188497.0
281.6,157.5,5.8,2182.0,17583.0,107661.0
312.6,110.4,11.8,1603.0,31013.0,220916.0
294.3,177.5,11.5,1929.0,36399.0,211812.0
302.4,149.9,11.8,1586.0,39292.0,214602.0
268.7,123.6,12.7,1692.0,58040.0,221694.0
295.0,229.8,10.6,2412.0,24731.0,204811.0
309.1,138.2,6.8,1941.0,21888.0,145198.0
261.8,148.0,9.2,2091.0,20454.0,132484.0
240.1,237.4,9.1,2143.0,14752.0,83988.0
231.1,164.1,10.5,2443.0,20785.0,134060.0
168.9,124.1,10.3,1973.0,13472.0,54096.0
292.5,209.5,7.1,1975.0,17876.0,113937.0
260.8,179.4,8.7,1880.0,15979.0,118096.0
237.6,141.8,12.7,3203.0,19886.0,116140.0
274.0,182.0,9.4,2065.0,24922.0,162148.0
271.8,141.1,9.4,2359.0,19425.0,110126.0
245.2,135.5,11.3,2308.0,19697.0,125935.0
292.5,104.5,7.9,1814.0,22597.0,159368.0
257.1,153.3,5.0,1472.0,21364.0,149230.0
249.9,86.4,11.2,1939.0,20430.0,110583.0
298.5,177.1,12.3,2141.0,28929.0,147891.0
220.3,107.4,10.7,1133.0,31528.0,149556.0
484.8,188.0,15.1,1594.0,35371.0,132314.0
369.6,213.3,11.4,2700.0,24343.0,128066.0
228.7,166.3,14.1,2123.0,29382.0,156908.0
275.6,183.5,10.2,2077.0,24671.0,145301.0
330.3,175.1,17.8,2305.0,42463.0,153398.0
319.3,179.6,15.0,2507.0,39971.0,228920.0
215.1,217.5,10.1,1864.0,20417.0,108408.0
73.1,61.2,13.4,1567.0,52695.0,108218.0
